	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000054446	2516.647306	-1.186568749	0.338633075	-3.503995438	0.000458333	0.036546647
ENSDARG00000104955	1630.537774	-1.178949121	0.336582799	-3.502701633	0.000460565	0.036546647
ENSDARG00000045444	13.99805511	-6.655782821	1.903871628	-3.495919957	0.00047243	0.037115166
ENSDARG00000087327	977.7678361	-1.273600276	0.364839105	-3.490854623	0.000481478	0.037638721
ENSDARG00000095672	13.78735576	-6.638749368	1.917024337	-3.463049081	0.000534091	0.040443709
ENSDARG00000026090	606.2336583	-1.593715396	0.460348878	-3.461973019	0.000536231	0.040443709
ENSDARG00000013576	94.09533295	-2.404181735	0.694784825	-3.460325624	0.000539523	0.040443709
ENSDARG00000091579	13.66857247	-6.624683804	1.916045842	-3.457476673	0.000545259	0.040614113
ENSDARG00000100836	322.3779724	-1.552422484	0.449238444	-3.455675939	0.000548915	0.040694432
ENSDARG00000069105	19.31304872	-5.754155738	1.672488766	-3.44047497	0.000580694	0.042410763
ENSDARG00000033182	21.81094427	-5.071193344	1.474402222	-3.439491116	0.000582809	0.042410763
ENSDARG00000101002	13.55167492	-6.605309786	1.921450316	-3.437668791	0.000586745	0.042501325
ENSDARG00000007387	5015.804827	-1.298269524	0.37807843	-3.433862975	0.000595045	0.042893574
ENSDARG00000042989	3145.365806	-1.096134896	0.320246883	-3.422780841	0.00061984	0.04389192
ENSDARG00000087333	2219.548887	-1.179855697	0.345112827	-3.418753536	0.000629087	0.044347811
ENSDARG00000028327	6459.166956	-1.244293017	0.364386261	-3.414763809	0.000638373	0.044802465
ENSDARG00000053684	20.02080062	-5.796783014	1.702712926	-3.404439425	0.000663	0.045995784
ENSDARG00000006235	4216.504361	-1.25106707	0.367530621	-3.403980509	0.000664115	0.045995784
ENSDARG00000104611	1591.981617	-1.11526038	0.328507882	-3.394927313	0.000686468	0.046870393
ENSDARG00000102411	96.64203184	-2.088431762	0.617742017	-3.380750711	0.000722881	0.048379541
ENSDARG00000007786	4856.66063	-1.141566457	0.337940605	-3.378009148	0.000730127	0.04846267
ENSDARG00000030224	689.2229048	-1.281179034	0.380493239	-3.36715322	0.000759485	0.049720895
ENSDARG00000099760	305.450083	-1.374522613	0.408324832	-3.366247914	0.000761982	0.049720895
ENSDARG00000088847	21.06740675	-4.793714036	1.425627485	-3.362529193	0.00077232	0.049857847
ENSDARG00000104887	28.59029955	-3.522869403	1.049218005	-3.357614323	0.000786182	0.049857847
ENSDARG00000074868	940.1456661	-1.139192227	0.33976011	-3.352931061	0.000799606	0.05047171
ENSDARG00000052907	2404.695636	-1.171347152	0.349445594	-3.352015803	0.000802254	0.05047171
ENSDARG00000097452	41.15598776	-3.273012602	0.977622718	-3.34793018	0.000814175	0.050816762
ENSDARG00000007329	12.59386571	-6.507508234	1.951240637	-3.335061863	0.000852804	0.05248009
ENSDARG00000105908	511.7762131	-1.221271106	0.36647675	-3.332465448	0.000860802	0.05248009
ENSDARG00000006397	6704.3248	-1.10895137	0.332781498	-3.332370872	0.000861094	0.05248009
ENSDARG00000053527	2096.530983	-1.301398085	0.390622981	-3.331596321	0.000863494	0.05248009
ENSDARG00000041019	133.2210823	-1.875066652	0.562988715	-3.330558149	0.000866721	0.05248009
ENSDARG00000041363	1381.144658	-1.345982618	0.404158189	-3.330336129	0.000867412	0.05248009
