	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000012002	1475.625706	-0.922777767	0.274918852	-3.356545983	0.000789226	0.067521663
ENSDARG00000073911	77.87762871	-1.556622643	0.466520852	-3.336662525	0.000847908	0.071722509
ENSDARG00000076624	148.832631	-1.337523286	0.402279962	-3.324856844	0.000884639	0.073582344
ENSDARG00000010301	2844.580034	-1.007487224	0.303652674	-3.317893464	0.000906991	0.074612445
ENSDARG00000078552	16.87562061	-3.712926149	1.124758637	-3.301087029	0.00096311	0.077979399
ENSDARG00000060861	140.9932224	-1.240678334	0.375853738	-3.300960479	0.000963545	0.077979399
ENSDARG00000098796	256.8127976	-1.005834907	0.305169688	-3.295985628	0.00098077	0.078946738
ENSDARG00000100114	5703.955156	-0.683908389	0.208154046	-3.285587771	0.001017698	0.080618936
ENSDARG00000107486	9.055265704	-6.215658609	1.893840114	-3.28203979	0.001030591	0.08121054
ENSDARG00000103442	8.68782009	-6.157229859	1.88682034	-3.263283594	0.001101293	0.086327499
ENSDARG00000075975	35.01409977	-2.275728744	0.700402827	-3.249171274	0.001157418	0.090127291
ENSDARG00000103441	19.21154046	-3.232575026	0.995221956	-3.248094563	0.001161807	0.090127291
ENSDARG00000059279	61.25936443	-1.835997389	0.56779445	-3.233559941	0.001222577	0.093389895
ENSDARG00000105445	15.08374753	-4.10654476	1.276422437	-3.217230159	0.001294347	0.097873566
ENSDARG00000061062	614.6727372	-0.822963295	0.256367681	-3.210089863	0.001326935	0.09933434
